l_rect.x, l_rect.y, r_rect.x, r_rect.y, l_scale, r_scale, loc.x, loc.y, loc.z, rot_quat.x, rot_quat.y, rot_quat.z, rot_quat.w, rot.roll, rot.pitch, rot.yaw, pos_err, rot_err
295, 185, 276, 184, 0.900000, 0.900000, 0.004988, 0.003367, 0.173862, 0.000000, 0.000000, -0.965926, 0.258819, 0.000000, 0.000000, -150.000000, 0.003538, 26.653777
295, 185, 276, 184, 0.900000, 0.900000, 0.004988, 0.003367, 0.173862, 0.000000, 0.000000, -0.965926, 0.258819, 0.000000, 0.000000, -150.000000, 0.003538, 26.653777
295, 185, 276, 184, 0.900000, 0.900000, 0.004988, 0.003367, 0.173862, 0.000000, 0.000000, -0.965926, 0.258819, 0.000000, 0.000000, -150.000000, 0.003538, 26.653777
295, 185, 276, 184, 0.900000, 0.900000, 0.004988, 0.003367, 0.173862, 0.000000, 0.000000, -0.965926, 0.258819, 0.000000, 0.000000, -150.000000, 0.003538, 26.653777
378, 54, 358, 55, 1.080000, 1.080000, 0.028904, -0.027707, 0.181490, 0.000000, 0.000000, -0.944089, 0.329691, 0.000000, 0.000000, -141.500000, 0.004534, 1.373632
378, 54, 358, 55, 1.080000, 1.080000, 0.028904, -0.027707, 0.181490, 0.000000, 0.000000, -0.944089, 0.329691, 0.000000, 0.000000, -141.500000, 0.004534, 1.373632
378, 54, 358, 55, 1.080000, 1.080000, 0.028904, -0.027707, 0.181490, 0.000000, 0.000000, -0.944089, 0.329691, 0.000000, 0.000000, -141.500000, 0.004534, 1.373632
378, 54, 358, 55, 1.080000, 1.080000, 0.028904, -0.027707, 0.181490, 0.000000, 0.000000, -0.944089, 0.329691, 0.000000, 0.000000, -141.500000, 0.004534, 1.373632
104, 135, 78, 135, 1.450000, 1.450000, -0.026893, 0.000085, 0.127394, 0.000000, 0.000000, -0.983255, 0.182236, 0.000000, 0.000000, -159.000000, 0.002002, 2.118574
104, 135, 78, 135, 1.450000, 1.450000, -0.026893, 0.000085, 0.127394, 0.000000, 0.000000, -0.983255, 0.182236, 0.000000, 0.000000, -159.000000, 0.002002, 2.118574
104, 135, 78, 135, 1.450000, 1.450000, -0.026893, 0.000085, 0.127394, 0.000000, 0.000000, -0.983255, 0.182236, 0.000000, 0.000000, -159.000000, 0.002002, 2.118574
104, 135, 78, 135, 1.450000, 1.450000, -0.026893, 0.000085, 0.127394, 0.000000, 0.000000, -0.983255, 0.182236, 0.000000, 0.000000, -159.000000, 0.002002, 2.118574
287, 122, 266, 122, 1.150000, 1.150000, 0.013368, -0.007230, 0.157726, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.001378, 0.495856
287, 122, 266, 122, 1.150000, 1.150000, 0.013368, -0.007230, 0.157726, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.001378, 0.495856
287, 122, 266, 122, 1.150000, 1.150000, 0.013368, -0.007230, 0.157726, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.001378, 0.495856
287, 122, 266, 122, 1.150000, 1.150000, 0.013368, -0.007230, 0.157726, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.001378, 0.495856
431, 158, 413, 158, 1.000000, 1.000000, 0.052345, -0.001607, 0.184014, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.002442, 0.495856
431, 158, 413, 158, 1.000000, 1.000000, 0.052345, -0.001607, 0.184014, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.002442, 0.495856
431, 158, 413, 158, 1.000000, 1.000000, 0.052345, -0.001607, 0.184014, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.002442, 0.495856
431, 158, 413, 158, 1.000000, 1.000000, 0.052345, -0.001607, 0.184014, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.002442, 0.495856
154, 116, 134, 114, 1.000000, 1.000000, -0.025789, -0.015466, 0.180665, 0.000000, 0.000000, 0.821647, 0.569997, 0.000000, 0.000000, 110.500000, 0.001257, 0.225489
154, 116, 134, 114, 1.000000, 1.000000, -0.025789, -0.015466, 0.180665, 0.000000, 0.000000, 0.821647, 0.569997, 0.000000, 0.000000, 110.500000, 0.001257, 0.225489
154, 116, 134, 114, 1.000000, 1.000000, -0.025789, -0.015466, 0.180665, 0.000000, 0.000000, 0.821647, 0.569997, 0.000000, 0.000000, 110.500000, 0.001257, 0.225489
154, 116, 134, 114, 1.000000, 1.000000, -0.025789, -0.015466, 0.180665, 0.000000, 0.000000, 0.821647, 0.569997, 0.000000, 0.000000, 110.500000, 0.001257, 0.225489
404, 170, 368, 170, 2.000000, 2.000000, 0.027054, 0.006969, 0.092007, 0.000000, 0.000000, -0.999657, 0.026177, 0.000000, 0.000000, -177.000000, 0.001561, 0.346223
404, 170, 368, 170, 2.000000, 2.000000, 0.027054, 0.006969, 0.092007, 0.000000, 0.000000, -0.999657, 0.026177, 0.000000, 0.000000, -177.000000, 0.001561, 0.346223
404, 170, 368, 170, 2.000000, 2.000000, 0.027054, 0.006969, 0.092007, 0.000000, 0.000000, -0.999657, 0.026177, 0.000000, 0.000000, -177.000000, 0.001561, 0.346223
404, 170, 368, 170, 2.000000, 2.000000, 0.027054, 0.006969, 0.092007, 0.000000, 0.000000, -0.999657, 0.026177, 0.000000, 0.000000, -177.000000, 0.001561, 0.346223
498, 150, 478, 150, 1.170000, 1.170000, 0.064850, -0.002074, 0.165613, 0.000000, 0.000000, 0.987688, 0.156434, 0.000000, 0.000000, 162.000000, 0.008723, 4.394094
498, 150, 478, 150, 1.170000, 1.170000, 0.064850, -0.002074, 0.165613, 0.000000, 0.000000, 0.987688, 0.156434, 0.000000, 0.000000, 162.000000, 0.008723, 4.394094
498, 150, 478, 150, 1.170000, 1.170000, 0.064850, -0.002074, 0.165613, 0.000000, 0.000000, 0.987688, 0.156434, 0.000000, 0.000000, 162.000000, 0.008723, 4.394094
498, 150, 478, 150, 1.170000, 1.170000, 0.064850, -0.002074, 0.165613, 0.000000, 0.000000, 0.987688, 0.156434, 0.000000, 0.000000, 162.000000, 0.008723, 4.394094
407, 93, 380, 93, 1.490000, 1.490000, 0.031108, -0.008703, 0.122676, 0.000000, 0.000000, -0.994522, 0.104528, 0.000000, 0.000000, -168.000000, 0.001106, 0.874961
407, 93, 380, 93, 1.490000, 1.490000, 0.031108, -0.008703, 0.122676, 0.000000, 0.000000, -0.994522, 0.104528, 0.000000, 0.000000, -168.000000, 0.001106, 0.874961
407, 93, 380, 93, 1.490000, 1.490000, 0.031108, -0.008703, 0.122676, 0.000000, 0.000000, -0.994522, 0.104528, 0.000000, 0.000000, -168.000000, 0.001106, 0.874961
407, 93, 380, 93, 1.490000, 1.490000, 0.031108, -0.008703, 0.122676, 0.000000, 0.000000, -0.994522, 0.104528, 0.000000, 0.000000, -168.000000, 0.001106, 0.874961
267, 85, 244, 85, 1.260000, 1.260000, -0.010017, -0.018150, 0.144011, 0.000000, 0.000000, -0.719340, 0.694658, 0.000000, 0.000000, -92.000000, 0.001155, 0.232804
267, 85, 244, 85, 1.260000, 1.260000, -0.010017, -0.018150, 0.144011, 0.000000, 0.000000, -0.719340, 0.694658, 0.000000, 0.000000, -92.000000, 0.001155, 0.232804
267, 85, 244, 85, 1.260000, 1.260000, -0.010017, -0.018150, 0.144011, 0.000000, 0.000000, -0.719340, 0.694658, 0.000000, 0.000000, -92.000000, 0.001155, 0.232804
267, 85, 244, 85, 1.260000, 1.260000, -0.010017, -0.018150, 0.144011, 0.000000, 0.000000, -0.719340, 0.694658, 0.000000, 0.000000, -92.000000, 0.001155, 0.232804
avg_pos_err:, 0.002770
avg_rot_err, 3.721127
