l_rect.x, l_rect.y, r_rect.x, r_rect.y, l_scale, r_scale, loc.x, loc.y, loc.z, rot_quat.x, rot_quat.y, rot_quat.z, rot_quat.w, rot.roll, rot.pitch, rot.yaw, pos_err, rot_err
413, 93, 386, 93, 1.400000, 1.400000, 0.031349, -0.009867, 0.122676, 0.000000, 0.000000, -0.994522, 0.104528, 0.000000, 0.000000, -168.000000, 0.001130, 0.874961
413, 93, 386, 93, 1.400000, 1.400000, 0.031349, -0.009867, 0.122676, 0.000000, 0.000000, -0.994522, 0.104528, 0.000000, 0.000000, -168.000000, 0.001130, 0.874961
413, 93, 386, 93, 1.400000, 1.400000, 0.031349, -0.009867, 0.122676, 0.000000, 0.000000, -0.994522, 0.104528, 0.000000, 0.000000, -168.000000, 0.001130, 0.874961
413, 93, 386, 93, 1.400000, 1.400000, 0.031349, -0.009867, 0.122676, 0.000000, 0.000000, -0.994522, 0.104528, 0.000000, 0.000000, -168.000000, 0.001130, 0.874961
270, 86, 247, 86, 1.200000, 1.200000, -0.009224, -0.018497, 0.144011, 0.000000, 0.000000, -0.725374, 0.688355, 0.000000, 0.000000, -93.000000, 0.000681, 1.232808
270, 86, 247, 86, 1.200000, 1.200000, -0.009224, -0.018497, 0.144011, 0.000000, 0.000000, -0.725374, 0.688355, 0.000000, 0.000000, -93.000000, 0.000681, 1.232808
270, 86, 247, 86, 1.200000, 1.200000, -0.009224, -0.018497, 0.144011, 0.000000, 0.000000, -0.725374, 0.688355, 0.000000, 0.000000, -93.000000, 0.000681, 1.232808
270, 86, 247, 86, 1.200000, 1.200000, -0.009224, -0.018497, 0.144011, 0.000000, 0.000000, -0.725374, 0.688355, 0.000000, 0.000000, -93.000000, 0.000681, 1.232808
avg_pos_err:, 0.002280
avg_rot_err, 1.268315
