l_rect.x, l_rect.y, r_rect.x, r_rect.y, l_scale, r_scale, loc.x, loc.y, loc.z, rot_quat.x, rot_quat.y, rot_quat.z, rot_quat.w, rot.roll, rot.pitch, rot.yaw, pos_err, rot_err
410, 175, 374, 175, 1.900000, 1.900000, 0.027056, 0.006014, 0.092007, 0.000000, 0.000000, -1.000000, -0.000000, 0.000000, 0.000000, -180.000000, 0.001416, 3.346233
499, 150, 486, 158, 1.150000, 1.150000, 0.061235, -0.001862, 0.155686, 0.000000, 0.000000, 0.991445, 0.130526, 0.000000, 0.000000, 165.000000, 0.001886, 1.394097
499, 150, 486, 158, 1.150000, 1.150000, 0.061235, -0.001862, 0.155686, 0.000000, 0.000000, 0.991445, 0.130526, 0.000000, 0.000000, 165.000000, 0.001886, 1.394097
499, 150, 486, 158, 1.150000, 1.150000, 0.061235, -0.001862, 0.155686, 0.000000, 0.000000, 0.991445, 0.130526, 0.000000, 0.000000, 165.000000, 0.001886, 1.394097
499, 150, 486, 158, 1.150000, 1.150000, 0.061235, -0.001862, 0.155686, 0.000000, 0.000000, 0.991445, 0.130526, 0.000000, 0.000000, 165.000000, 0.001886, 1.394097
409, 95, 382, 95, 1.450000, 1.450000, 0.031147, -0.009287, 0.122676, 0.000000, 0.000000, -0.996195, 0.087156, 0.000000, 0.000000, -170.000000, 0.000939, 2.874950
409, 95, 382, 95, 1.450000, 1.450000, 0.031147, -0.009287, 0.122676, 0.000000, 0.000000, -0.996195, 0.087156, 0.000000, 0.000000, -170.000000, 0.000939, 2.874950
409, 95, 382, 95, 1.450000, 1.450000, 0.031147, -0.009287, 0.122676, 0.000000, 0.000000, -0.996195, 0.087156, 0.000000, 0.000000, -170.000000, 0.000939, 2.874950
409, 95, 382, 95, 1.450000, 1.450000, 0.031147, -0.009287, 0.122676, 0.000000, 0.000000, -0.996195, 0.087156, 0.000000, 0.000000, -170.000000, 0.000939, 2.874950
276, 93, 232, 74, 1.150000, 1.300000, -0.006424, -0.013420, 0.106316, 0.000000, 0.000000, -0.737277, 0.675590, 0.000000, 0.000000, -95.000000, 0.038799, 3.232806
276, 93, 232, 74, 1.150000, 1.300000, -0.006424, -0.013420, 0.106316, 0.000000, 0.000000, -0.737277, 0.675590, 0.000000, 0.000000, -95.000000, 0.038799, 3.232806
276, 93, 232, 74, 1.150000, 1.300000, -0.006424, -0.013420, 0.106316, 0.000000, 0.000000, -0.737277, 0.675590, 0.000000, 0.000000, -95.000000, 0.038799, 3.232806
276, 93, 232, 74, 1.150000, 1.300000, -0.006424, -0.013420, 0.106316, 0.000000, 0.000000, -0.737277, 0.675590, 0.000000, 0.000000, -95.000000, 0.038799, 3.232806
avg_pos_err:, 0.005837
avg_rot_err, 2.490374
