l_rect.x, l_rect.y, r_rect.x, r_rect.y, l_scale, r_scale, loc.x, loc.y, loc.z, rot_quat.x, rot_quat.y, rot_quat.z, rot_quat.w, rot.roll, rot.pitch, rot.yaw, pos_err, rot_err
284, 202, 265, 202, 1.000000, 1.000000, 0.004868, 0.004868, 0.174329, 0.000000, 0.000000, -1.000000, -0.000000, 0.000000, 0.000000, -180.000000, 0.002677, 3.346233
284, 202, 265, 202, 1.000000, 1.000000, 0.004868, 0.004868, 0.174329, 0.000000, 0.000000, -1.000000, -0.000000, 0.000000, 0.000000, -180.000000, 0.002677, 3.346233
284, 202, 265, 202, 1.000000, 1.000000, 0.004868, 0.004868, 0.174329, 0.000000, 0.000000, -1.000000, -0.000000, 0.000000, 0.000000, -180.000000, 0.002677, 3.346233
284, 202, 265, 202, 1.000000, 1.000000, 0.004868, 0.004868, 0.174329, 0.000000, 0.000000, -1.000000, -0.000000, 0.000000, 0.000000, -180.000000, 0.002677, 3.346233
385, 57, 366, 57, 1.000000, 1.000000, 0.028792, -0.027442, 0.174329, 0.000000, 0.000000, -0.939693, 0.342020, 0.000000, 0.000000, -140.000000, 0.002813, 2.873639
385, 57, 366, 57, 1.000000, 1.000000, 0.028792, -0.027442, 0.174329, 0.000000, 0.000000, -0.939693, 0.342020, 0.000000, 0.000000, -140.000000, 0.002813, 2.873639
385, 57, 366, 57, 1.000000, 1.000000, 0.028792, -0.027442, 0.174329, 0.000000, 0.000000, -0.939693, 0.342020, 0.000000, 0.000000, -140.000000, 0.002813, 2.873639
385, 57, 366, 57, 1.000000, 1.000000, 0.028792, -0.027442, 0.174329, 0.000000, 0.000000, -0.939693, 0.342020, 0.000000, 0.000000, -140.000000, 0.002813, 2.873639
104, 136, 77, 136, 1.450000, 1.450000, -0.025824, 0.000117, 0.122676, 0.000000, 0.000000, -0.984808, 0.173648, 0.000000, 0.000000, -160.000000, 0.002957, 1.118581
104, 136, 77, 136, 1.450000, 1.450000, -0.025824, 0.000117, 0.122676, 0.000000, 0.000000, -0.984808, 0.173648, 0.000000, 0.000000, -160.000000, 0.002957, 1.118581
104, 136, 77, 136, 1.450000, 1.450000, -0.025824, 0.000117, 0.122676, 0.000000, 0.000000, -0.984808, 0.173648, 0.000000, 0.000000, -160.000000, 0.002957, 1.118581
104, 136, 77, 136, 1.450000, 1.450000, -0.025824, 0.000117, 0.122676, 0.000000, 0.000000, -0.984808, 0.173648, 0.000000, 0.000000, -160.000000, 0.002957, 1.118581
286, 121, 268, 124, 1.150000, 1.150000, 0.013354, -0.007157, 0.156983, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.002107, 0.495856
286, 121, 268, 124, 1.150000, 1.150000, 0.013354, -0.007157, 0.156983, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.002107, 0.495856
286, 121, 268, 124, 1.150000, 1.150000, 0.013354, -0.007157, 0.156983, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.002107, 0.495856
286, 121, 268, 124, 1.150000, 1.150000, 0.013354, -0.007157, 0.156983, 0.000000, 0.000000, 0.953717, 0.300706, 0.000000, 0.000000, 145.000000, 0.002107, 0.495856
430, 157, 412, 157, 1.000000, 1.000000, 0.052354, -0.001724, 0.184014, 0.000000, 0.000000, 0.939693, 0.342020, 0.000000, 0.000000, 140.000000, 0.002446, 5.495857
430, 157, 412, 157, 1.000000, 1.000000, 0.052354, -0.001724, 0.184014, 0.000000, 0.000000, 0.939693, 0.342020, 0.000000, 0.000000, 140.000000, 0.002446, 5.495857
430, 157, 412, 157, 1.000000, 1.000000, 0.052354, -0.001724, 0.184014, 0.000000, 0.000000, 0.939693, 0.342020, 0.000000, 0.000000, 140.000000, 0.002446, 5.495857
430, 157, 412, 157, 1.000000, 1.000000, 0.052354, -0.001724, 0.184014, 0.000000, 0.000000, 0.939693, 0.342020, 0.000000, 0.000000, 140.000000, 0.002446, 5.495857
153, 115, 135, 115, 1.000000, 1.000000, -0.026385, -0.015833, 0.184014, 0.000000, 0.000000, 0.819152, 0.573576, 0.000000, 0.000000, 110.000000, 0.002332, 0.725487
153, 115, 135, 115, 1.000000, 1.000000, -0.026385, -0.015833, 0.184014, 0.000000, 0.000000, 0.819152, 0.573576, 0.000000, 0.000000, 110.000000, 0.002332, 0.725487
153, 115, 135, 115, 1.000000, 1.000000, -0.026385, -0.015833, 0.184014, 0.000000, 0.000000, 0.819152, 0.573576, 0.000000, 0.000000, 110.000000, 0.002332, 0.725487
153, 115, 135, 115, 1.000000, 1.000000, -0.026385, -0.015833, 0.184014, 0.000000, 0.000000, 0.819152, 0.573576, 0.000000, 0.000000, 110.000000, 0.002332, 0.725487
410, 175, 374, 175, 1.900000, 1.900000, 0.027056, 0.006014, 0.092007, 0.000000, 0.000000, -1.000000, -0.000000, 0.000000, 0.000000, -180.000000, 0.001416, 3.346233
410, 175, 374, 175, 1.900000, 1.900000, 0.027056, 0.006014, 0.092007, 0.000000, 0.000000, -1.000000, -0.000000, 0.000000, 0.000000, -180.000000, 0.001416, 3.346233
410, 175, 374, 175, 1.900000, 1.900000, 0.027056, 0.006014, 0.092007, 0.000000, 0.000000, -1.000000, -0.000000, 0.000000, 0.000000, -180.000000, 0.001416, 3.346233
